,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,休日
212,2021-02-05 14:00:00,5,5,5,5,10,5,20,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
213,2021-02-05 14:15:00,5,5,5,5,10,5,10,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
214,2021-02-05 14:30:00,5,5,5,5,10,5,25,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
215,2021-02-05 14:45:00,5,5,5,5,15,5,10,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
216,2021-02-05 15:00:00,5,5,5,5,20,5,30,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
217,2021-02-05 15:15:00,5,5,5,5,20,5,15,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
218,2021-02-05 15:30:00,5,5,5,5,10,5,5,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
219,2021-02-05 15:45:00,5,5,5,5,10,5,20,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
220,2021-02-05 16:00:00,5,5,5,5,5,5,5,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
221,2021-02-05 16:15:00,5,5,5,5,5,5,25,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
